id,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h,last_updated,time_stamp
wrapped-steth,Wrapped stETH,3969.13,13936707486,38033748.0,4121.4,3937.71,-3.64545,2024-12-27T02:34:15.575Z,27-12-2024 08-11-14
shiba-inu,Shiba Inu,2.177e-05,12812941324,490003562.0,2.271e-05,2.136e-05,-4.10634,2024-12-27T02:34:14.320Z,27-12-2024 08-11-14
wrapped-bitcoin,Wrapped Bitcoin,95869.0,12743789344,250381299.0,98603.0,95057.0,-2.67824,2024-12-27T02:34:14.574Z,27-12-2024 08-11-14
sui,Sui,4.25,12457472840,1280550467.0,4.44,4.15,-4.19685,2024-12-27T02:34:13.805Z,27-12-2024 08-11-14
hedera-hashgraph,Hedera,0.293798,11230881677,948928637.0,0.316023,0.281049,-6.97094,2024-12-27T02:34:22.083Z,27-12-2024 08-11-14
stellar,Stellar,0.360994,10930855652,308255352.0,0.381147,0.352317,-5.2875,2024-12-27T02:34:13.066Z,27-12-2024 08-11-14
polkadot,Polkadot,7.05,10723381963,346364778.0,7.44,6.89,-5.29244,2024-12-27T02:34:17.917Z,27-12-2024 08-11-14
bitget-token,Bitget Token,7.59,10614162029,15677337.0,7.79,6.16,23.09277,2024-12-27T02:34:20.769Z,27-12-2024 08-11-14
weth,WETH,3374.86,9709538509,228300251.0,3472.64,3306.29,-2.81584,2024-12-27T02:34:20.727Z,27-12-2024 08-11-14
hyperliquid,Hyperliquid,27.44,9166839720,320755553.0,27.83,24.25,5.45389,2024-12-27T02:34:22.127Z,27-12-2024 08-11-14
bitcoin-cash,Bitcoin Cash,441.2,8745725702,231916251.0,463.23,433.21,-4.75542,2024-12-27T02:34:21.483Z,27-12-2024 08-11-14
leo-token,LEO Token,9.1,8418233942,1416686.0,9.54,9.07,-4.05529,2024-12-27T02:34:22.659Z,27-12-2024 08-11-14
uniswap,Uniswap,13.75,8275669961,510696709.0,13.87,12.84,0.22109,2024-12-27T02:34:15.335Z,27-12-2024 08-11-14
litecoin,Litecoin,103.65,7809435271,617952116.0,108.95,101.21,-4.86696,2024-12-27T02:34:12.870Z,27-12-2024 08-11-14
pepe,Pepe,1.761e-05,7409127955,1645134003.0,1.833e-05,1.712e-05,-3.93435,2024-12-27T02:34:12.587Z,27-12-2024 08-11-14
wrapped-eeth,Wrapped eETH,3562.83,6549600576,8391765.0,3667.34,3490.05,-2.84962,2024-12-27T02:34:17.554Z,27-12-2024 08-11-14
near,NEAR Protocol,5.16,6284541349,298049653.0,5.36,5.02,-3.79263,2024-12-27T02:34:11.191Z,27-12-2024 08-11-14
ethena-usde,Ethena USDe,0.997347,5910690359,53679494.0,1.002,0.995351,-0.1208,2024-12-27T02:34:21.482Z,27-12-2024 08-11-14
usds,USDS,0.998633,5289742505,9410931.0,1.002,0.99436,0.00227,2024-12-27T02:34:13.651Z,27-12-2024 08-11-14
aave,Aave,345.93,5204202525,688291284.0,361.67,330.79,-4.35021,2024-12-27T02:34:20.017Z,27-12-2024 08-11-14
aptos,Aptos,9.01,5018301873,320070882.0,9.47,8.76,-4.86543,2024-12-27T02:34:20.607Z,27-12-2024 08-11-14
internet-computer,Internet Computer,10.46,5001640815,214170459.0,11.12,10.19,-5.93183,2024-12-27T02:34:22.924Z,27-12-2024 08-11-14
crypto-com-chain,Cronos,0.151812,4114963430,25417904.0,0.1567,0.14819,-3.11969,2024-12-27T02:34:20.740Z,27-12-2024 08-11-14
polygon-ecosystem-token,POL (ex-MATIC),0.485048,4073919422,129840302.0,0.507336,0.473708,-4.39323,2024-12-27T02:34:12.750Z,27-12-2024 08-11-14
mantle,Mantle,1.2,4046896727,134054509.0,1.23,1.17,-1.92489,2024-12-27T02:34:22.916Z,27-12-2024 08-11-14
ethereum-classic,Ethereum Classic,26.3,3947950183,196579894.0,27.13,25.5,-3.0464,2024-12-27T02:34:21.762Z,27-12-2024 08-11-14
vechain,VeChain,0.0473193,3833930685,75251520.0,0.05099,0.04621547,-7.19871,2024-12-27T02:34:13.980Z,27-12-2024 08-11-14
render-token,Render,7.24,3748947039,111117993.0,7.48,7.01,-3.28725,2024-12-27T02:34:11.941Z,27-12-2024 08-11-14
whitebit,WhiteBIT Coin,24.72,3562829558,28351394.0,24.85,24.47,-0.30956,2024-12-27T02:34:14.155Z,27-12-2024 08-11-14
monero,Monero,190.26,3507679720,59495018.0,193.99,187.13,-0.36051,2024-12-27T02:34:10.887Z,27-12-2024 08-11-14
bittensor,Bittensor,475.03,3504765646,113807738.0,490.96,465.14,-3.24321,2024-12-27T02:34:20.441Z,27-12-2024 08-11-14
mantra-dao,MANTRA,3.66,3483652361,40054284.0,3.78,3.61,-2.96514,2024-12-27T02:34:19.312Z,27-12-2024 08-11-14
dai,Dai,0.999507,3458890353,86544727.0,1.002,0.995632,-0.01966,2024-12-27T02:34:21.537Z,27-12-2024 08-11-14
fetch-ai,Artificial Superintelligence Alliance,1.29,3355346520,254040020.0,1.34,1.25,-3.73034,2024-12-27T02:34:21.953Z,27-12-2024 08-11-14
arbitrum,Arbitrum,0.771093,3246892609,366554557.0,0.794296,0.740854,-2.9212,2024-12-27T02:34:20.900Z,27-12-2024 08-11-14
filecoin,Filecoin,5.04,3102721539,276666879.0,5.29,4.92,-4.61229,2024-12-27T02:34:21.986Z,27-12-2024 08-11-14
okb,OKB,51.16,3072143178,54214150.0,53.05,47.61,7.29451,2024-12-27T02:34:10.834Z,27-12-2024 08-11-14
algorand,Algorand,0.35682,2981064237,212562278.0,0.376725,0.345015,-5.28374,2024-12-27T02:34:20.416Z,27-12-2024 08-11-14
virtual-protocol,Virtuals Protocol,2.96,2970647052,371792992.0,3.26,2.84,-9.07613,2024-12-27T02:34:14.364Z,27-12-2024 08-11-14
kaspa,Kaspa,0.11361,2889642945,154231298.0,0.120229,0.111353,-5.50564,2024-12-27T02:34:22.698Z,27-12-2024 08-11-14
ethena,Ethena,0.95563,2819073974,406143343.0,1.008,0.915345,-5.22271,2024-12-27T02:34:22.829Z,27-12-2024 08-11-14
cosmos,Cosmos Hub,6.56,2564623968,169372013.0,6.86,6.43,-4.30388,2024-12-27T02:34:22.717Z,27-12-2024 08-11-14
tokenize-xchange,Tokenize Xchange,31.52,2521645779,72688150.0,33.32,21.87,37.81252,2024-12-27T02:34:13.313Z,27-12-2024 08-11-14
fantom,Fantom,0.886259,2485796841,367684601.0,0.960144,0.866707,-7.69513,2024-12-27T02:34:21.900Z,27-12-2024 08-11-14
optimism,Optimism,1.82,2463404416,331870015.0,1.9,1.76,-4.25814,2024-12-27T02:34:11.947Z,27-12-2024 08-11-14
blockstack,Stacks,1.6,2413730204,96409843.0,1.65,1.56,-3.2609,2024-12-27T02:34:20.273Z,27-12-2024 08-11-14
immutable-x,Immutable,1.36,2331922985,72869470.0,1.42,1.33,-4.05639,2024-12-27T02:34:22.681Z,27-12-2024 08-11-14
bonk,Bonk,3.076e-05,2328957349,292480721.0,3.336e-05,3.02e-05,-7.79832,2024-12-27T02:34:20.536Z,27-12-2024 08-11-14
celestia,Celestia,4.94,2307978371,114249819.0,5.06,4.82,-2.3306,2024-12-27T02:34:21.528Z,27-12-2024 08-11-14
pudgy-penguins,Pudgy Penguins,0.03643324,2292639782,1237156020.0,0.04255647,0.03649002,-4.8232,2024-12-27T02:34:22.849Z,27-12-2024 08-11-14
movement,Movement,1.021,2281871856,1287771134.0,1.2,1.015,-14.96599,2024-12-27T02:34:10.342Z,27-12-2024 08-11-14
theta-token,Theta Network,2.21,2207458684,39812425.0,2.34,2.12,-5.81957,2024-12-27T02:34:13.372Z,27-12-2024 08-11-14
first-digital-usd,First Digital USD,1.001,2203017141,4349128696.0,1.006,0.994087,-0.44484,2024-12-27T02:34:22.051Z,27-12-2024 08-11-14
ondo-finance,Ondo,1.52,2198448532,426592607.0,1.58,1.44,-3.46317,2024-12-27T02:34:12.281Z,27-12-2024 08-11-14
injective-protocol,Injective,21.44,2094872657,121732989.0,22.45,21.02,-4.49207,2024-12-27T02:34:22.924Z,27-12-2024 08-11-14
binance-peg-weth,Binance-Peg WETH,3375.93,2043516886,66816852.0,3469.12,3312.37,-2.67967,2024-12-27T02:34:22.079Z,27-12-2024 08-11-14
coinbase-wrapped-btc,Coinbase Wrapped BTC,96204.0,2023703322,364700622.0,98968.0,95170.0,-2.71907,2024-12-27T02:34:21.377Z,27-12-2024 08-11-14
the-graph,The Graph,0.210925,2014279993,66858046.0,0.22018,0.205975,-4.20355,2024-12-27T02:34:14.423Z,27-12-2024 08-11-14
gatechain-token,Gate,15.64,1965055126,98841760.0,17.62,14.77,4.94679,2024-12-27T02:34:22.206Z,27-12-2024 08-11-14
dogwifcoin,dogwifhat,1.86,1860278550,302976194.0,1.97,1.82,-5.28604,2024-12-27T02:34:22.341Z,27-12-2024 08-11-14
worldcoin-wld,Worldcoin,2.22,1824428094,252146663.0,2.28,2.15,-2.32261,2024-12-27T02:34:21.565Z,27-12-2024 08-11-14
sei-network,Sei,0.427661,1799266150,108244862.0,0.452095,0.414307,-5.40452,2024-12-27T02:34:22.732Z,27-12-2024 08-11-14
rocket-pool-eth,Rocket Pool ETH,3782.41,1758690851,5607205.0,3892.21,3706.62,-2.821,2024-12-27T02:34:13.035Z,27-12-2024 08-11-14
jasmycoin,JasmyCoin,0.03624485,1755202890,173434853.0,0.03905624,0.03517277,-7.1983,2024-12-27T02:34:22.997Z,27-12-2024 08-11-14
floki,FLOKI,0.00017726,1714741830,362842874.0,0.0001807,0.00016903,-1.24288,2024-12-27T02:34:21.694Z,27-12-2024 08-11-14
kelp-dao-restaked-eth,Kelp DAO Restaked ETH,3481.08,1700659176,6178301.0,3580.16,3407.75,-2.76743,2024-12-27T02:34:22.451Z,27-12-2024 08-11-14
usual-usd,Usual USD,0.999601,1691342283,41091386.0,1.004,0.995132,-0.00525,2024-12-27T02:34:13.685Z,27-12-2024 08-11-14
thorchain,THORChain,4.91,1688965552,231329624.0,5.14,4.74,-4.43621,2024-12-27T02:34:13.555Z,27-12-2024 08-11-14
quant-network,Quant,113.05,1645186059,27333172.0,117.98,110.34,-4.1731,2024-12-27T02:34:16.417Z,27-12-2024 08-11-14
lido-dao,Lido DAO,1.82,1633944870,182435342.0,1.91,1.75,-3.80407,2024-12-27T02:34:10.569Z,27-12-2024 08-11-14
mantle-staked-ether,Mantle Staked Ether,3550.46,1534399554,16175714.0,3654.58,3475.47,-2.84916,2024-12-27T02:34:22.870Z,27-12-2024 08-11-14
gala,GALA,0.03596727,1517168054,190274226.0,0.03820007,0.03496583,-5.84501,2024-12-27T02:34:22.062Z,27-12-2024 08-11-14
lombard-staked-btc,Lombard Staked BTC,96329.0,1489876736,4344332.0,98815.0,95113.0,-2.32784,2024-12-27T02:34:22.985Z,27-12-2024 08-11-14
beam-2,Beam,0.02789622,1466259049,35304785.0,0.02887612,0.0267808,-3.39347,2024-12-27T02:34:20.328Z,27-12-2024 08-11-14
flare-networks,Flare,0.02653618,1458467491,8179777.0,0.02740363,0.02591072,-2.93166,2024-12-27T02:34:06.137Z,27-12-2024 08-11-14
fasttoken,Fasttoken,3.32,1416917206,33338846.0,3.34,3.26,-0.54264,2024-12-27T02:34:21.444Z,27-12-2024 08-11-14
raydium,Raydium,4.83,1404844745,86499373.0,5.24,4.75,-7.79452,2024-12-27T02:34:12.346Z,27-12-2024 08-11-14
maker,Maker,1557.6,1388005848,137156609.0,1581.45,1516.24,-1.50837,2024-12-27T02:34:09.954Z,27-12-2024 08-11-14
tezos,Tezos,1.35,1377037450,69469566.0,1.45,1.33,-7.11735,2024-12-27T02:34:13.478Z,27-12-2024 08-11-14
the-sandbox,The Sandbox,0.56326,1369151318,165198426.0,0.585536,0.549332,-3.80445,2024-12-27T02:34:13.841Z,27-12-2024 08-11-14
nexo,NEXO,1.34,1336591634,7340064.0,1.37,1.32,-2.57928,2024-12-27T02:34:10.939Z,27-12-2024 08-11-14
pyth-network,Pyth Network,0.368112,1334401805,44505819.0,0.387559,0.357556,-5.01773,2024-12-27T02:34:12.224Z,27-12-2024 08-11-14
kucoin-shares,KuCoin,10.99,1322311658,186790.0,11.16,10.91,-1.4378,2024-12-27T02:34:22.619Z,27-12-2024 08-11-14
solv-btc,Solv Protocol SolvBTC,96046.0,1275437147,24668650.0,98792.0,94944.0,-2.69839,2024-12-27T02:34:12.271Z,27-12-2024 08-11-14
kaia,Kaia,0.213537,1253013769,28218163.0,0.221423,0.207704,-3.56152,2024-12-27T02:34:22.918Z,27-12-2024 08-11-14
based-brett,Brett,0.125506,1243043222,59359451.0,0.134821,0.122185,-6.90928,2024-12-27T02:34:20.236Z,27-12-2024 08-11-14
binance-staked-sol,Binance Staked SOL,194.09,1235963296,2210132.0,202.51,191.29,-4.09349,2024-12-27T02:34:20.010Z,27-12-2024 08-11-14
helium,Helium,7.01,1231852137,16966819.0,7.05,6.72,-0.58432,2024-12-27T02:34:21.943Z,27-12-2024 08-11-14
curve-dao-token,Curve DAO,0.970486,1226526353,499035533.0,1.011,0.898166,-3.97374,2024-12-27T02:34:21.212Z,27-12-2024 08-11-14
eos,EOS,0.795867,1208095937,130474650.0,0.830101,0.772969,-4.12413,2024-12-27T02:34:21.478Z,27-12-2024 08-11-14
renzo-restaked-eth,Renzo Restaked ETH,3473.75,1207132340,4643793.0,3571.91,3401.74,-2.74801,2024-12-27T02:34:23.023Z,27-12-2024 08-11-14
ethereum-name-service,Ethereum Name Service,35.16,1171861815,313121562.0,35.51,32.78,0.42785,2024-12-27T02:34:21.976Z,27-12-2024 08-11-14
xdce-crowd-sale,XDC Network,0.077706,1160787581,27979856.0,0.082338,0.076251,-5.48398,2024-12-27T02:34:17.034Z,27-12-2024 08-11-14
jupiter-exchange-solana,Jupiter,0.845459,1141824622,92375463.0,0.893127,0.826647,-5.33717,2024-12-27T02:34:22.714Z,27-12-2024 08-11-14
aerodrome-finance,Aerodrome Finance,1.55,1128971495,51487831.0,1.61,1.51,-3.48008,2024-12-27T02:34:19.603Z,27-12-2024 08-11-14
flow,Flow,0.71615,1112919352,75229029.0,0.751284,0.697046,-4.67642,2024-12-27T02:34:22.142Z,27-12-2024 08-11-14
zcash,Zcash,68.93,1089830004,85330497.0,72.51,66.44,-4.93104,2024-12-27T02:34:15.812Z,27-12-2024 08-11-14
arweave,Arweave,16.57,1085177621,88369811.0,16.95,16.12,-2.26363,2024-12-27T02:34:20.254Z,27-12-2024 08-11-14
dydx-chain,dYdX,1.52,1080075327,48190619.0,1.57,1.43,-3.54369,2024-12-27T02:34:21.207Z,27-12-2024 08-11-14
iota,IOTA,0.300233,1073419146,26066524.0,0.317167,0.290113,-5.33919,2024-12-27T02:34:22.178Z,27-12-2024 08-11-14
starknet,Starknet,0.47306,1068805912,71316923.0,0.489411,0.457925,-3.34088,2024-12-27T02:34:13.501Z,27-12-2024 08-11-14
bitcoin-cash-sv,Bitcoin SV,53.65,1061974924,15277246.0,56.49,52.6,-5.03521,2024-12-27T02:34:20.430Z,27-12-2024 08-11-14
bittorrent,BitTorrent,1.09e-06,1061521690,53446242.0,1.14e-06,1.07e-06,-3.30327,2024-12-27T02:34:20.504Z,27-12-2024 08-11-14
coredaoorg,Core,1.14,1060931339,54588373.0,1.17,1.088,-2.57608,2024-12-27T02:34:20.968Z,27-12-2024 08-11-14
msol,Marinade Staked SOL,236.76,1047906095,11652610.0,247.9,233.5,-4.49272,2024-12-27T02:34:10.721Z,27-12-2024 08-11-14
axie-infinity,Axie Infinity,6.33,992994781,65650384.0,6.67,6.21,-5.11396,2024-12-27T02:34:20.130Z,27-12-2024 08-11-14
neo,NEO,14.04,990658800,27381590.0,14.67,13.72,-4.32222,2024-12-27T02:34:10.513Z,27-12-2024 08-11-14
aioz-network,AIOZ Network,0.847221,959643701,20234679.0,0.912742,0.803693,-7.17851,2024-12-27T02:34:19.624Z,27-12-2024 08-11-14
fartcoin,Fartcoin,0.956067,954266332,143374284.0,1.17,0.889771,-18.2108,2024-12-27T02:34:21.728Z,27-12-2024 08-11-14
elrond-erd-2,MultiversX,34.07,944953527,54231933.0,36.36,33.18,-6.14242,2024-12-27T02:34:21.531Z,27-12-2024 08-11-14
matic-network,Polygon,0.485048,935298725,5046149.0,0.507776,0.472323,-4.47591,2024-12-27T02:34:10.506Z,27-12-2024 08-11-14
ether-fi-staked-eth,ether.fi Staked ETH,3373.34,927144227,211780.0,3468.86,3304.34,-2.75385,2024-12-27T02:34:21.256Z,27-12-2024 08-11-14
decentraland,Decentraland,0.493168,921912974,92540496.0,0.520689,0.485371,-5.28541,2024-12-27T02:34:21.453Z,27-12-2024 08-11-14
solv-protocol-solvbtc-bbn,Solv Protocol SolvBTC.BBN,95776.0,916819411,16617514.0,98678.0,94619.0,-2.40278,2024-12-27T02:34:12.190Z,27-12-2024 08-11-14
jito-governance-token,Jito,3.21,882916793,65984691.0,3.25,3.14,-0.94175,2024-12-27T02:34:22.949Z,27-12-2024 08-11-14
ai16z,ai16z,0.798187,877513027,54946583.0,0.875657,0.775782,-4.99639,2024-12-27T02:34:19.608Z,27-12-2024 08-11-14
mog-coin,Mog Coin,2.23e-06,870712844,40154079.0,2.48e-06,2.18e-06,-8.2386,2024-12-27T02:34:11.042Z,27-12-2024 08-11-14
apecoin,ApeCoin,1.2,868996052,159492342.0,1.24,1.16,-2.93085,2024-12-27T02:34:19.930Z,27-12-2024 08-11-14
arbitrum-bridged-wbtc-arbitrum-one,Arbitrum Bridged WBTC (Arbitrum One),95964.0,841271832,120900782.0,98645.0,94837.0,-2.71871,2024-12-27T02:34:20.040Z,27-12-2024 08-11-14
pendle,Pendle,5.04,821191226,57620807.0,5.25,4.83,-3.99557,2024-12-27T02:34:11.906Z,27-12-2024 08-11-14
wormhole,Wormhole,0.291585,804594109,77955218.0,0.289627,0.266243,1.72336,2024-12-27T02:34:14.466Z,27-12-2024 08-11-14
chiliz,Chiliz,0.086127,793491864,84969564.0,0.090981,0.083911,-5.33454,2024-12-27T02:34:20.644Z,27-12-2024 08-11-14
l2-standard-bridged-weth-base,L2 Standard Bridged WETH (Base),3376.95,791329193,941998263.0,3473.51,3307.74,-2.77974,2024-12-27T02:34:21.346Z,27-12-2024 08-11-14
usdd,USDD,0.995707,758869803,2211871.0,0.999923,0.989499,-0.09867,2024-12-27T02:34:17.643Z,27-12-2024 08-11-14
conflux-token,Conflux,0.159594,755035945,71382176.0,0.163669,0.155361,-2.48991,2024-12-27T02:34:20.703Z,27-12-2024 08-11-14
reserve-rights-token,Reserve Rights,0.01395943,751964137,120222814.0,0.01454985,0.01310529,-4.05786,2024-12-27T02:34:13.877Z,27-12-2024 08-11-14
dexe,DeXe,13.07,750795500,9305728.0,13.69,12.7,-0.90326,2024-12-27T02:34:21.074Z,27-12-2024 08-11-14
akash-network,Akash Network,3.02,747562302,7610080.0,3.23,2.99,-6.62057,2024-12-27T02:34:19.953Z,27-12-2024 08-11-14
eigenlayer,Eigenlayer,3.51,743891694,126835032.0,3.63,3.3,-3.14595,2024-12-27T02:34:21.357Z,27-12-2024 08-11-14
arbitrum-bridged-weth-arbitrum-one,Arbitrum Bridged WETH (Arbitrum One),3376.11,741998262,404857476.0,3473.78,3299.8,-2.81147,2024-12-27T02:34:21.922Z,27-12-2024 08-11-14
jupiter-staked-sol,Jupiter Staked SOL,202.37,730000955,3552558.0,211.95,199.47,-4.51743,2024-12-27T02:34:22.589Z,27-12-2024 08-11-14
zksync,ZKsync,0.19708,723928319,124464775.0,0.210026,0.190859,-6.02919,2024-12-27T02:34:16.107Z,27-12-2024 08-11-14
popcat,Popcat,0.738537,723760899,68503753.0,0.786279,0.7109,-6.07193,2024-12-27T02:34:11.357Z,27-12-2024 08-11-14
superfarm,SuperVerse,1.6,720693212,29302441.0,1.74,1.57,-8.12988,2024-12-27T02:34:14.650Z,27-12-2024 08-11-14
gnosis,Gnosis,278.0,719950350,8466321.0,286.32,274.84,-2.78632,2024-12-27T02:34:22.103Z,27-12-2024 08-11-14
pancakeswap-token,PancakeSwap,2.47,719845150,98162607.0,2.55,2.4,-3.10868,2024-12-27T02:34:11.497Z,27-12-2024 08-11-14
ronin,Ronin,1.92,718043954,14327078.0,1.99,1.88,-3.45214,2024-12-27T02:34:14.024Z,27-12-2024 08-11-14
spx6900,SPX6900,0.770506,717335816,26635708.0,0.829756,0.763416,-7.14069,2024-12-27T02:34:22.395Z,27-12-2024 08-11-14
mina-protocol,Mina Protocol,0.598006,717063817,51803263.0,0.62821,0.581547,-4.80788,2024-12-27T02:34:10.491Z,27-12-2024 08-11-14
compound-governance-token,Compound,80.3,712585580,56805919.0,85.4,78.43,-5.97248,2024-12-27T02:34:22.701Z,27-12-2024 08-11-14
turbo,Turbo,0.01029448,710667702,141734502.0,0.01125528,0.00992833,-8.53641,2024-12-27T02:34:14.024Z,27-12-2024 08-11-14
havven,Synthetix Network,2.09,709272870,39850859.0,2.18,2.0,-4.23576,2024-12-27T02:34:22.252Z,27-12-2024 08-11-14
ecash,eCash,3.466e-05,686385385,28058450.0,3.595e-05,3.392e-05,-3.59588,2024-12-27T02:34:21.167Z,27-12-2024 08-11-14
dydx,dYdX,1.52,682685756,55613514.0,1.57,1.43,-3.15783,2024-12-27T02:34:21.294Z,27-12-2024 08-11-14
binance-peg-dogecoin,Binance-Peg Dogecoin,0.315319,682564593,2763196.0,0.332355,0.310004,-5.1259,2024-12-27T02:34:20.679Z,27-12-2024 08-11-14
ether-fi-staked-btc,Ether.fi Staked BTC,96771.0,670610976,3961400.0,98349.0,94190.0,-1.60273,2024-12-27T02:34:21.153Z,27-12-2024 08-11-14
peanut-the-squirrel,Peanut the Squirrel,0.65834,658065497,271298725.0,0.686103,0.643018,-4.04645,2024-12-27T02:34:11.546Z,27-12-2024 08-11-14
dog-go-to-the-moon-rune,Dog (Bitcoin),0.00652436,654376150,20021993.0,0.0067899,0.00627474,-3.91076,2024-12-27T02:34:21.165Z,27-12-2024 08-11-14
notcoin,Notcoin,0.00635802,651853227,93860074.0,0.00666327,0.00619697,-4.58096,2024-12-27T02:34:11.607Z,27-12-2024 08-11-14
amp-token,Amp,0.00773435,651687196,25377404.0,0.00804634,0.00756831,-3.87745,2024-12-27T02:34:19.831Z,27-12-2024 08-11-14
layerzero,LayerZero,5.86,650902382,130864535.0,5.95,5.64,-1.62955,2024-12-27T02:34:09.518Z,27-12-2024 08-11-14
tether-gold,Tether Gold,2632.99,649431376,6578996.0,2640.25,2617.64,0.30392,2024-12-27T02:34:19.411Z,27-12-2024 08-11-14
axelar,Axelar,0.732626,649041374,11462248.0,0.779465,0.715049,-6.00915,2024-12-27T02:34:20.099Z,27-12-2024 08-11-14
frax,Frax,0.99514,646366695,7607682.0,0.998742,0.990664,-0.05004,2024-12-27T02:34:21.944Z,27-12-2024 08-11-14
livepeer,Livepeer,17.49,641544587,249875115.0,18.66,17.34,-5.09961,2024-12-27T02:34:23.121Z,27-12-2024 08-11-14
mantle-restaked-eth,Mantle Restaked ETH,3551.51,630654970,8810836.0,3658.47,3478.29,-2.92352,2024-12-27T02:34:21.071Z,27-12-2024 08-11-14
susds,sUSDS,1.022,618194828,517483.0,1.056,1.006,0.18153,2024-12-27T02:34:14.377Z,27-12-2024 08-11-14
terra-luna,Terra Luna Classic,0.00011153,614701674,28679484.0,0.00011522,0.00010818,-3.19656,2024-12-27T02:34:13.402Z,27-12-2024 08-11-14
usual,Usual,1.26,606810635,305551291.0,1.38,1.25,-7.70124,2024-12-27T02:34:13.673Z,27-12-2024 08-11-14
vana,Vana,19.52,606231076,422862932.0,22.88,18.81,1.1135,2024-12-27T02:34:13.823Z,27-12-2024 08-11-14
zencash,Horizen,37.33,588909540,372092346.0,41.46,34.01,0.07503,2024-12-27T02:34:15.843Z,27-12-2024 08-11-14
coinbase-wrapped-staked-eth,Coinbase Wrapped Staked ETH,3660.62,583655068,14339110.0,3763.35,3587.76,-2.72984,2024-12-27T02:34:20.780Z,27-12-2024 08-11-14
echelon-prime,Echelon Prime,11.22,575072709,15277802.0,11.67,10.96,-3.8281,2024-12-27T02:34:21.231Z,27-12-2024 08-11-14
chex-token,CHEX Token,0.575705,574592157,1637950.0,0.594787,0.553112,-3.08369,2024-12-27T02:34:20.731Z,27-12-2024 08-11-14
grass,Grass,2.35,573160349,109446174.0,2.44,2.22,-3.49168,2024-12-27T02:34:22.405Z,27-12-2024 08-11-14
cat-in-a-dogs-world,cat in a dogs world,0.00633311,565297050,44263936.0,0.00661026,0.00612966,-3.96528,2024-12-27T02:34:20.739Z,27-12-2024 08-11-14
mocaverse,Moca Network,0.348461,554303029,583826015.0,0.379286,0.323589,-1.30607,2024-12-27T02:34:23.164Z,27-12-2024 08-11-14
1inch,1inch,0.395899,553138613,61914906.0,0.413238,0.384791,-4.19584,2024-12-27T02:34:19.540Z,27-12-2024 08-11-14
oasis-network,Oasis,0.082141,552829588,21583402.0,0.085656,0.079753,-4.10412,2024-12-27T02:34:11.017Z,27-12-2024 08-11-14
baby-doge-coin,Baby Doge Coin,3.372e-09,551185784,39630186.0,3.593e-09,3.293e-09,-6.14094,2024-12-27T02:34:20.525Z,27-12-2024 08-11-14
gigachad-2,Gigachad,0.057329,550937567,15183112.0,0.061392,0.052665,-6.60005,2024-12-27T02:34:22.315Z,27-12-2024 08-11-14
ordinals,ORDI,26.11,548449186,107761753.0,26.86,25.18,-2.81107,2024-12-27T02:34:13.442Z,27-12-2024 08-11-14
kusama,Kusama,34.31,545524550,29191883.0,35.79,33.45,-4.1299,2024-12-27T02:34:22.574Z,27-12-2024 08-11-14
beldex,Beldex,0.078904,545457898,7894561.0,0.079854,0.078249,0.29133,2024-12-27T02:34:20.036Z,27-12-2024 08-11-14
